SLP,SP,AT,Tmin,GT,DPT,Evap,HCC,K,CUPE,runoff
1026.67,980.19,6.36,2.67,5.31,0.39,-1.5552,0.76,-1.8,0.09,218.28125
1024.11,977.76,5.68,0.68,3.83,-0.17,-1.0998,0.03,-10.98,0.28,196.34375
1019.6,974.2,8.6,1.24,7.26,2.75,-1.8404,0.03,-2.56,3.65,176.1875
1016.68,971.87,12.24,5.13,10.4,6.77,-1.9442,0.33,6.97,0,158.125
1016.14,971.44,12.49,8.41,11.39,9.72,-1.4107,0.09,12.91,0.25,141.875
1011.72,967.44,16.12,9.03,14.39,10.89,-1.9135,0.45,-11.69,0.04,127.4375
1007.85,963.89,19.47,12.96,17.89,13.3,-2.1391,0.42,21.63,38.59,114.375
1007.6,963.8,21.5,17.57,19.71,17.22,-2.0874,0.19,29.27,225.72,103.6875
1010.03,965.96,19.45,16.89,17.85,17.83,-1.1998,0.21,29.03,537.39,105.625
1014.18,969.87,18.24,14.02,15.92,15.63,-1.631,0.06,-2.74,85.41,137.09375
1013.51,969.24,19.09,14.49,17.58,15.39,-1.8939,0.08,18.25,0.82,164.15625
1011.4,967.39,20.41,15.77,19.49,17.03,-1.8644,0.46,30.8,379.54,158.40625
1012.15,967.95,19.17,15.37,18.29,16.74,-1.5835,0.04,28.55,238.39,164.15625
1011.3,967.06,18.08,14.52,17.33,14.02,-1.8932,0.37,28.1,212.82,180.75
1013.08,968.42,14.96,14.04,14.13,13.61,-1.134,0.86,31.05,540.29,182.96875
1011.04,966.82,18.3,14.44,18.17,16.26,-1.5585,0.54,32.45,353.54,196.46875
1018.64,973.14,11.88,8.02,10.81,10.8,-2.0877,0.39,28.11,191.41,244.125
1023.31,976.92,7.17,6.5,6.25,6.33,-1.2725,0.44,24.58,20.89,317.78125
1024.89,978.39,6.96,4.24,5.97,6.03,-1.2762,0.35,17.1,16.34,343.46875
1032.58,985.28,4.51,0.79,3.31,-1.42,-1.6712,0,-36.57,0.35,366.625
1029.26,982.58,5.37,0.48,3.33,-4.79,-2.0836,0.02,-51.19,0,360.09375
1022.96,977.57,10.11,2,7.96,0.66,-2.3655,0,-36.99,0,323.34375
1019.14,974.45,16.3,6.15,14.93,8.68,-2.4676,0.11,16.84,76.22,288.125
1016.63,972.11,16.36,13.22,16.63,15.28,-1.8633,0.27,32.96,87.02,262.96875
1012.5,968.46,19.52,15.64,18.37,17.08,-1.7096,0.77,30.58,69.12,283.5625
1019.5,974.59,15.88,10.99,15.19,14.32,-2.2223,0.81,28.57,53.84,287.96875
1024.32,978.79,13,10.87,12.05,7.77,-1.468,0.67,15.3,0.48,292.34375
1023.74,978.49,13.1,9.14,11.13,7.05,-1.8228,0.15,-3.36,0.59,278.84375
1019.08,974.61,15.86,9.84,14.56,10.05,-2.6591,0.36,-9.17,0,252.5
1011.89,967.97,20.54,11.21,18.51,10.85,-3.1377,0.96,-5.18,0,229.375
1013.4,969.33,20.23,15.92,18.79,15.75,-1.8794,0.91,16.48,198.4,207.21875
1014.63,970.16,19.09,13.76,17.38,8.57,-3.2667,0.55,18.73,16.14,186.65625
1011.31,967.37,20.89,15.23,18.42,12.9,-2.744,0.2,14.56,4.43,168.125
1009.3,965.46,21.78,16.38,21.39,16.29,-2.9542,0.17,26.97,26.63,151.46875
1015.75,970.64,13.54,10.05,12.77,12.26,-1.9466,0.49,22.7,52.15,142.34375
1024.34,978.66,12.22,9.9,10.25,4.38,-2.4157,0.01,-26.33,3.9,165.75
1023.45,977.9,12.99,5.69,10.91,2.41,-3.0645,0.04,-25.72,0,184.53125
1023.03,977.76,12.19,8.04,10.45,6.1,-2.0911,0.04,-13.92,0,170.78125
1023.18,978.07,14.82,7.89,12.56,5.08,-3.1503,0.15,-32.99,0,153.90625
1022.13,977,15.61,10.98,13.17,4.84,-3.2881,0.22,-12.35,0.11,138.46875
1019.18,974.37,15.04,12.57,14.73,11.19,-1.4039,0.3,27.09,6.7,124.875
1013.48,969.41,20.16,14.15,18.47,15.42,-2.6852,0.06,26.74,14.55,114.90625
1013.69,969.33,19.17,12.74,18.72,15.26,-3.4663,0.36,30.76,20.9,107.53125
1021.12,975.64,12.51,12.13,11.09,11.47,-1.3416,0.53,20.57,6.71,116.90625
1020.35,974.82,11.61,10.47,11.17,10.28,-1.3664,0.28,26.12,11.84,136.9375
1016.07,970.91,12.38,11.25,11.53,11.73,-1.0318,0.27,30.28,15.4,142.875
1012.98,968.68,18.31,12.49,17.1,15.84,-1.6508,0.9,31.62,115.61,148.0625
1015.77,971.14,16.6,13.42,15.51,15.91,-1.594,0.41,30.84,60.11,161.90625
1021.34,976.03,12.88,11.52,12.18,10.25,-1.3037,0.29,23.63,6.75,190.25
1018.01,972.41,10.69,10.02,9.39,9.97,-1.0115,0.37,9.89,8.3,202.59375
1013,968.45,13.87,10.5,12.78,10.8,-2.3505,0.36,-34.33,0.38,216.59375
1011.25,967.01,16.27,12.99,17.49,14.65,-2.3299,0.88,32.37,146.01,226.5625
1006.45,962.65,18.6,15.75,19.38,17.61,-2.1873,0.88,33.79,297.56,224.34375
1012,967.9,19.87,16.16,19.91,18.98,-1.5775,0.88,34.08,578.08,249.4375
1020.36,975.19,13.65,10.89,13.25,12.86,-1.8384,0.95,27.42,67.43,302.28125
1021.34,975.58,11.25,8.6,9.79,9.92,-2.1334,0.78,25.6,66.27,354.5
1024.26,978,8.59,8.05,7.21,7.25,-1.1423,0.9,2.75,4.52,386.09375
1022.06,976.82,11.89,8.11,11.64,8.38,-2.6632,0.51,-25.48,0.33,374.90625
1020.14,975.43,17.5,10.77,16.21,11.07,-3.348,0.97,15.1,1.02,338.8125
1015.67,971.2,17.17,15.74,16.81,16.15,-1.3356,0.4,32.02,5.08,302.59375
1010.97,967.04,20.96,16.8,19.83,18.69,-2.5089,0.91,32.84,162.3,278.78125
1009.54,965.71,20.89,18.69,20.98,19.8,-2.2592,0.97,33.81,599.08,266.28125
1007.62,964.06,24.31,20.04,22.78,19.41,-3.1237,0.97,32.29,77.53,275.125
1016.96,972.01,15.07,12.86,13.38,13.98,-1.6544,0.91,24.9,48.95,290.9375
1020.29,975.45,16.92,12.8,14.77,10.82,-2.7441,0.04,10.35,1,349.125
1019.58,974.75,17.91,12.56,15.83,7.65,-3.5782,0.01,10.96,0.4,360.46875
1017.37,972.84,19.21,15.16,17.95,10.72,-3.6058,0.18,22.98,1.65,312.59375
1018.65,973.8,16,13.87,13.8,14.65,-0.913,0.87,9.11,28.17,280.65625
1015.37,971.09,18.4,13.26,16.87,10.68,-3.6924,0.86,-9.1,0.08,263.1875
1014.77,970.73,21.14,15.29,18.29,10.95,-3.7087,0.67,0.35,0.36,242.28125
1016.53,972.31,20.56,14.61,19.58,12.04,-3.6603,0.74,10.78,13.89,219.25
1015.94,971.91,22.07,15.07,19.7,12.7,-3.7904,0.16,16.69,0,197.84375
1014.11,970.25,23.75,17.4,21.51,13.47,-3.9176,0.74,18.68,10.02,178.375
1012.52,968.71,24.07,17.09,22.01,14.61,-3.6971,0.05,17.59,189.22,160.84375
1011.41,967.63,24.97,18.61,22.64,15.32,-3.665,0.65,-0.16,34.35,145.0625
1006.92,963.32,25.3,21,23.52,15.51,-4.0256,0.69,11.95,4.54,130.875
1007.16,963.5,23.14,21.47,22.3,20.43,-2.4188,0.72,33.32,229.92,121.0625
1006.94,963.23,22.75,21.56,22.52,21.47,-1.7132,0.82,34.36,199.32,155.15625
1007.95,964.18,22.44,20.33,22.54,19.95,-2.4085,0.68,32.99,68.74,231.28125
1004.47,960.87,22.59,20.15,22.18,19.52,-2.8988,0.83,34.56,330.99,262.84375
1007.05,963.17,20.63,19.62,20.46,19.52,-0.9083,0.98,32.05,145.69,250.53125
1011,966.85,20.22,19.17,19.12,17.93,-2.2058,0.99,27.87,17.04,254.96875
1013.89,969.52,18.99,17.97,17.65,17.73,-1.3389,0.24,31.01,22.65,249.53125
1013.18,968.9,19.73,17.43,18.07,16.46,-1.8145,0.18,33.77,12.46,239.09375
1010.28,966.1,18.78,16.6,18.59,17.41,-2.7448,0.74,34.42,55.62,255.59375
1011.77,967.44,18.55,17.39,17.15,17.73,-1.1466,0.59,34.26,31.07,374.03125
1012.04,967.8,19.88,17.91,17.97,18.63,-1.0536,0.02,32.41,6.22,481.46875
1011.51,967.66,24.04,20.83,22.25,20.47,-2.5135,0.01,32.99,37.83,471.96875
1008.89,965.38,25.83,22.23,24.58,21.4,-3.4421,0.28,32.64,184.83,430.75
1007.98,964.43,26.07,22.28,25.26,21.83,-3.7857,0.54,34.82,898.01,387.5625
1009.11,965.34,23.28,21.75,22.99,21.92,-2.1256,0.99,34.96,533.04,384
1010.17,966.36,22.92,21.17,21.89,21.78,-1.6783,0.56,32.14,391.66,453.4375
1006.02,962.6,25.5,22.72,25.35,23.01,-3.7112,0.94,34.33,762.83,528.21875
1001.3,957.87,23.42,19.78,22.74,21.89,-2.9901,0.99,34.68,408.37,567.53125
1005.29,961.49,20.76,16.98,19.04,15.78,-3.1109,0.07,2.29,1.6,637.9375
1007.86,964.24,22.75,17.28,20.7,14.89,-4.3754,0,-16.12,0,646.125
1008.65,965.18,25.17,17.64,23.16,15.19,-4.7298,0.75,-13.18,1.37,590.78125
1009.61,966.04,25.69,20.37,23.75,13.86,-4.776,0.98,-3,0,535.96875
1011.27,967.23,22.3,20.11,20.84,18.46,-2.9132,0.91,31.9,21.58,487.53125
1008.16,964.46,23.79,21.6,23.04,20.67,-2.2146,0.95,34.44,43.38,448.5625
1007.75,963.89,21.94,20.96,20.76,21.15,-0.8476,0.89,33.61,55.08,413.6875
1007.97,964.15,22.22,18.81,21.16,19.61,-2.6292,0.02,12.99,6.9,411.1875
1008.41,964.84,25.92,21.5,23.75,18.51,-4.2813,0.1,20.54,9.15,388.34375
1011.07,967.04,22,18.84,20.89,17.29,-3.0557,0.94,27.23,5.11,348.75
1012.95,968.72,20.65,18.97,19.22,17.89,-2.5497,0.2,25.35,23.78,338.40625
1011.55,967.63,23.52,19.78,21.5,17.09,-3.7438,0.13,25.59,9.09,314.71875
1010.3,966.48,23.55,18.7,21.6,16.59,-3.4942,0.87,21.29,5.81,281.78125
1010.2,966.35,23.87,18.33,21.76,16.87,-3.5295,0.33,22.7,34.56,257.625
1010.05,966.32,24.86,19.26,22.63,16.85,-3.814,0.51,20.06,27.64,236.03125
1010.16,966.44,24.93,21.43,23.48,17.75,-3.6039,0.6,28.91,13.57,215.3125
1008.22,964.51,24.43,20.22,23.45,16.1,-4.2469,0.92,28.7,2.39,196
1008.83,964.92,21.57,20.8,21.03,20.41,-1.9211,0.73,34.66,152.33,187.5625
1009.65,965.72,22.7,20.23,20.77,19.92,-1.9504,0.42,30.38,32.11,207.875
1009.31,965.56,23.99,20.21,22.26,18.27,-3.3212,0.54,25.29,10.7,224.84375
1007.84,964.26,25,21.8,23.31,19.15,-3.2744,0.4,27.34,13.71,211.9375
1006.87,963.21,23.37,21.98,23.03,21.27,-2.049,0.66,34.9,65.88,196.125
1005.43,961.75,22.67,22.05,22,22.37,-0.6582,0.86,36.61,158.1,288.59375
1005.62,962.01,23.37,22.36,22.33,22.65,-1.1603,0.7,36.05,87.99,434.46875
1005.36,961.83,24.11,22.72,23.1,23.18,-1.0089,0.96,36.73,378.26,496.5
1004.91,961.44,24.58,23.5,23.02,23.44,-1.4113,1,37.41,558.48,563.3125
1005.83,962.36,24.73,22.93,23.84,23.42,-2.2207,0.99,36.25,925.49,689.90625
1005.62,962.19,24.84,23.16,23.5,23.26,-2.0461,1,35.88,792.43,790.03125
1005.89,962.48,26.01,23.68,24.83,23.46,-2.4562,0.99,34,1176.73,783.75
1007.4,963.77,24.31,22.63,23.21,23.17,-1.7118,0.9,34.59,610.33,748.53125
1009.18,965.36,22.65,22.01,22.24,22.02,-0.9866,0.97,36.7,343.91,773.875
1006.61,962.91,22.83,21.65,22.12,21.94,-1.3995,0.98,32.79,112.52,836.15625
1001.4,958,23.92,22.04,22.96,22.9,-1.9511,0.98,34.55,266.97,858.9375
1001.79,958.38,24.4,22.9,23.13,23.45,-1.5066,0.86,34.58,143.97,882.75
1006.09,962.58,25.71,23.71,24.56,22.97,-3.0182,0.46,35.96,97.12,913.5
1007.22,963.73,26.15,23.84,25.25,24.31,-3.221,0.74,34.45,1422.04,872.96875
1007.22,963.84,27.9,24.41,26.39,24.03,-4.1009,0.98,33.97,941.07,812
1008.44,965.05,27.83,24.63,26.55,24.22,-4.3579,0.86,34.2,993.39,748.375
1007.08,963.8,29.55,25.6,27.35,24.24,-4.9144,0.73,33.84,1271.27,682.4844
1005.09,962.09,30.68,26.66,28.63,23.95,-4.9765,0.9,28.87,1527.22,617.96875
1004.21,961.28,31.52,27.26,29.06,23.52,-5.0874,0.94,27.3,1109.71,556.875
1004.43,961.5,32.05,27.71,29.64,23.39,-5.255,0.87,26.97,817.08,501.375
1003.59,960.68,31.95,27.69,29.44,23.37,-4.9037,0.93,27.26,729.57,450.64062
1002.21,959.29,30.57,26.29,29.44,23.92,-4.5609,1,35.57,569.85,405.25
1004.55,961.27,26.61,24.8,26.46,24.5,-2.6607,0.98,35.51,1935.42,364.26562
1007.12,963.66,26.58,25.1,25.55,24.89,-3.055,0.75,35.65,2038.31,349.20312
1005.47,962.29,28.26,25.93,27.6,25.3,-3.4186,0.93,32.7,2245.33,362.0625
1005.77,962.56,27.84,25.56,26.87,23.56,-2.9452,0.96,32.88,864.62,356.01562
1006.33,963.2,29.77,25.75,28,22.4,-4.152,0.99,30.7,150.92,328.53125
1006.95,963.79,29.7,25.74,28.1,22.9,-3.9468,0.99,30.08,352.33,298.71875
1006.75,963.66,30.46,25.89,29.05,23.17,-4.2703,0.9,31.39,313.51,269.375
1007.69,964.5,29.65,25.21,29.41,23.11,-4.2025,0.86,34.69,788.69,240.51562
1009.2,965.72,27.05,24.37,26.39,23.7,-2.7272,0.97,32.92,1749.2,220.4375
1008.86,965.45,28.36,25.65,26.56,23.34,-3.4399,0.91,32.58,762.61,204.20312
1009,965.73,30.15,25.79,28.79,22.28,-4.083,0.92,31.91,559.86,188.04688
1011.04,967.66,30.58,26.06,29.14,21.71,-3.9923,0.98,33.86,615.17,172.48438
1010.85,967.28,28.31,23.93,27.62,23.45,-3.7951,0.92,33.68,1504.51,157.75
1008.33,965.06,29.59,25.29,28.65,21.8,-4.1312,0.07,32.86,891.07,146.96875
1008.65,965.33,28.56,24.59,28.66,22.71,-3.6602,0.33,34.26,1407.29,137.45312
1009.41,966.07,30.32,25.14,29.35,21.58,-3.8583,0.26,29.69,322.33,126.09375
1009.7,966.27,29.43,24.85,28.1,21.85,-3.4497,0.67,30.49,573.66,115.5
1009.38,965.89,28.08,24.07,26.95,23.23,-3.2872,0.88,32.68,1615.43,105.515625
1007.88,964.53,28.78,24.39,28.14,22.61,-3.3669,0.74,32.09,547.93,99.609375
1008,964.52,27.84,24.29,26.62,23.36,-3.3939,0.99,35.7,734.19,95.578125
1006.54,963.08,26.88,24.54,26.4,23.95,-3.1417,0.99,35.72,1237.88,98.359375
1006.01,962.63,26.7,24.51,26.6,24.04,-3.2662,0.76,34.29,1110.09,107.125
1004.91,961.68,28.36,25.52,27.18,23.51,-4.2712,0.68,33.56,1013.15,109.8125
1004.29,961.05,28.26,24.55,27.26,23.14,-3.897,0.65,33.36,2074.48,106.8125
1005.65,962.41,27.96,24.73,27.52,22.88,-4.0544,0.49,34.24,1096.82,101.65625
1007.39,964.21,30.01,26.21,29.21,22.83,-4.0436,0.28,32.77,731.48,95.5
1009.69,966.51,30.81,26.47,29.67,23.6,-4.0226,0.53,32.18,1263.46,89.40625
1008.11,964.97,31.05,25.47,29.89,23.21,-3.9857,0.19,34.52,1522.97,81.625
1005.1,962.16,30.93,25.46,30.54,22.8,-3.7863,0.15,32.58,1628.18,74.203125
1004.72,961.73,31.15,26.62,30.61,23.74,-3.5278,0.48,35.2,2189.99,68
1007.73,964.22,27.09,24.08,25.87,23.88,-3.5422,0.46,34.08,1368.67,64.140625
1008.08,964.6,27.93,25.93,26.54,23.96,-3.7557,0.82,34.97,545.68,64.625
1006.21,962.88,27.56,22.84,26.3,23.29,-3.8621,0.34,24.62,443.52,71.109375
1003.27,960.18,28.89,23.39,27.56,21.71,-4.0456,0.22,9.87,2.95,76.953125
1002.59,959.68,30.3,26.33,28.77,22.62,-3.6856,0,20.21,6.96,73.5
1005.73,962.58,29.44,25.63,28.82,23.76,-3.2334,0.18,37.25,1329.01,67.046875
1007.71,964.56,30.87,26.67,30.07,23.78,-3.5974,0.17,35.32,1094.51,60.921875
1007.11,964.02,30.8,26.26,30.05,23.04,-3.5702,0.25,33.32,366.56,55.671875
1006.59,963.54,31.24,26.46,30.37,23.29,-3.3999,0.35,34.28,534.78,51.546875
1007.79,964.72,31.75,26.95,30.8,22.26,-3.1402,0.46,28.8,258.06,48.28125
1008.43,965.28,31.53,26.89,30.57,22.29,-3.0876,0.11,34.26,752.73,45.765625
1008.28,965.11,30.65,26.28,30.24,22.03,-2.9788,0.05,32.86,274.44,43.875
1009.8,966.48,30.54,25.97,29.51,22.52,-2.7134,0.66,33.84,1174.28,42.671875
1012.97,969.36,28.7,24.25,28.12,22.89,-2.5312,0.8,36.08,1558.28,43.25
1015.5,971.61,25.1,23.22,24.99,23.61,-2.9654,0.93,33.63,1904.45,50.65625
1013.07,969.49,27.39,23.56,26.96,23.25,-3.5878,0.23,28.52,585.44,64.015625
1010.52,967.1,28.61,24.16,27.8,22.61,-3.162,0.01,29.58,123.83,72.109375
1009.51,966.16,29.36,24.93,28.1,21.9,-3.6051,0,27.57,184.33,68.921875
1009.88,966.53,29.27,24.46,28.58,22.7,-3.2273,0.33,30.98,775.19,62.84375
1010.24,966.82,29.96,25.23,28.14,22.24,-3.311,0.5,30.82,646.52,56.96875
1009.33,965.96,29.06,24.33,28.25,22.73,-3.3338,0.67,32.13,1066.41,51.859375
1008.78,965.33,28.06,23.75,27.32,23.26,-3.2466,0.81,33.03,1237.51,48.390625
1007.77,964.34,27.82,24.8,27.58,22.45,-3.6204,0.51,33.66,230.86,46.46875
1009.12,965.55,26.96,24.36,26.07,23.02,-2.832,0.25,35.26,466.25,44.484375
1008,964.53,27.54,24.4,26.34,23.3,-3.2318,0.33,34.96,310.09,46.296875
1004.66,961.45,28.32,24.63,27.59,22.44,-3.336,0.13,32.11,244.95,52.015625
1003.49,960.29,27.7,25.5,27.19,21.86,-2.5197,0.18,34.13,11.16,52.828125
1004.28,961.05,28.33,25.28,27.47,22.83,-2.5627,0.45,35.98,129.5,50.171875
1007.73,964.2,27,24.36,24.98,24.98,-2.3959,0.98,35.69,1260.07,48.40625
1008.11,964.68,27.69,23.72,26.29,23.28,-4.0348,0.6,32.6,426.38,50.828125
1008.1,964.76,28.37,24.01,26.84,21.95,-3.443,0.28,28.28,71.69,53.3125
1006.91,963.72,29.79,26.13,27.68,21.31,-3.5029,0.14,23.66,0.5,50.921875
1006.37,963.27,30.2,25.36,28.97,21.84,-3.2288,0.27,30.24,35.82,47.5
1006.86,963.64,30.15,25.69,29.01,23.42,-3.3113,0.28,34.56,1080.65,44.421875
1007.81,964.51,29.96,25.55,28.51,21.51,-3.2924,0.01,25.74,153.05,42.078125
1006.16,962.82,28.16,24.75,27.51,21.63,-2.8898,0.5,33.38,60.46,40.84375
1006.13,962.62,25.49,24.26,23.7,24,-1.5403,0.84,35.84,592.11,43.15625
1010.13,966.57,27.19,24.57,25.74,24.48,-3.3451,0.53,34.32,1019.8,55.75
1011.12,967.58,27.93,23.73,25.91,22.69,-3.9232,0.05,31.09,314.05,78.421875
1011.33,967.84,28.54,23.69,27.09,21.92,-4.1943,0.04,30.35,790.08,84.515625
1012.14,968.58,28.57,24.78,27.17,23.43,-3.8981,0.12,33.4,1995.51,79.59375
1011.21,967.67,27.93,24.12,26.78,22.36,-3.8338,0.11,32.66,744.16,73.078125
1009.5,966.11,28.79,23.53,27.46,22.61,-3.6892,0.04,28.75,490.22,66.21875
1008.55,965.15,28.52,23.97,27.51,22.93,-3.5034,0.13,28.94,390.78,59.921875
1007.32,964.01,27.83,22.8,26.16,22.3,-3.0062,0.02,23.37,63.58,54.453125
1004.26,961.05,28.95,25.52,27.74,21.01,-3.4226,0.3,28.74,7.3,49.796875
1007.82,964.32,27.88,25.17,25.88,20.42,-3.0783,0.53,27.7,39.88,46.09375
1012.28,968.64,27.63,23.39,25.99,20.98,-2.5918,0.04,30.45,100.69,43.328125
1013.43,969.71,26.88,22.22,26.52,21.57,-2.9613,0.56,34.18,552.88,41.5625
1013.7,969.68,23.3,20.99,22.67,21.57,-3.2932,0.44,34.96,411.1,43.046875
1014.16,970.01,22.24,21.02,21.36,19.66,-1.3829,0.61,31.98,4.8,54.203125
1014.03,970.09,24.29,21.69,23.1,21.74,-2.2201,0.5,33.38,231.61,67.03125
1014.77,970.8,24.53,22.6,23.53,22.32,-2.8253,0.54,34.86,380.8,67.296875
1014.96,971,24.69,22.57,23.9,22.33,-2.6668,0.27,34.59,528.46,65.796875
1015.87,971.84,24.76,22.98,23.73,22.72,-3.0426,0.26,34.09,514.69,69.58594
1016.4,972.29,23.69,21.48,22.78,21.39,-2.6724,0.14,33.22,84.39,78.39844
1016.77,972.57,23.09,21.25,22.15,20.09,-2.1039,0.01,31.59,8.56,81.6875
1014.85,970.93,24.79,22.27,23.65,21.15,-2.5069,0.02,27.77,66.67,76.953125
1014.97,970.99,25.31,22.55,23.7,20.61,-3.0787,0.01,27.24,13.65,70.453125
1017.68,973.32,20.75,15.95,19.5,16.26,-2.2585,0.06,16.31,3.09,64.546875
1017.63,973.3,19.96,15.11,17.9,11.05,-3.5593,0.01,-17.16,0,59.65625
1016.85,972.57,19.89,14.01,18.26,13.31,-2.9963,0.58,-8.09,0,55.210938
1015.91,971.71,20.84,16.33,19.72,14.9,-2.7686,0.85,13.18,0.02,51.03125
1015.27,971.05,21.78,18.42,20.23,17.39,-2.547,0.92,27.12,13.59,47.585938
1013.83,969.44,19.32,17.72,16.99,17.51,-1.993,0.8,19.4,2.92,47.046875
1011.72,967.72,20.72,17.01,19.97,16.94,-2.4355,0.87,-4.86,0.29,48.578125
1013.49,969.21,19.27,18.31,18.53,17.79,-1.5938,0.67,30.6,14.55,47.804688
1014.51,970.43,21.87,19.21,20.79,20.2,-1.959,0.14,35.49,34.11,50.132812
1014.11,970.25,24.42,21.46,24.05,22.2,-1.9801,0.29,35.4,332.85,56.203125
1013.12,969.17,24.03,22.38,22.65,22.17,-2.4674,0.12,35.55,171.04,59.335938
1014.52,970.31,21.38,18.63,20.18,19.98,-1.9913,0.22,33.48,85.39,62.726562
1018.78,974.18,18.45,16.79,16.96,16.8,-1.3552,0.07,16.76,2.37,70.08594
1018.61,974.18,20.64,17.84,18.82,16.88,-1.9405,0.08,8.88,0.8,78.40625
1018.25,973.92,21.22,15.72,19.11,15.54,-3.0495,0.39,-10.09,0.29,75.265625
1016.82,972.52,20.92,16.59,18.78,13.6,-3.2437,0.28,14.46,0,68.19531
1014.12,970.02,22.84,18.59,20.93,15.93,-2.8052,0.53,32.98,3.66,61.554688
